JobTitle,BasePay,Overtimepay
CUSTODIAN,48472.43,7907.75
CUSTODIAN,48472.45,2442.72
CUSTODIAN,48472.4,1564.47
CUSTODIAN,47100.99,2185.88
CUSTODIAN,48461.5,1807.73
CUSTODIAN,48461.54,1817.48
CUSTODIAN,48461.52,2120.21
CUSTODIAN,48461.5,2022.6
CUSTODIAN,48472.4,1177.36
CUSTODIAN,41084.28,943.71
CUSTODIAN,37216.61,736.74
CUSTODIAN,28345.59,1622.94
CUSTODIAN,25994.61,218.59
CUSTODIAN,48461.53,1499.65
CUSTODIAN,48472.4,292.91
CUSTODIAN,48472.4,1972.35
CUSTODIAN,46061.04,284.95
CUSTODIAN,41041.7,958.8
CUSTODIAN,39915.84,2072.8
CUSTODIAN,48461.55,1203.38
CUSTODIAN,48461.5,2246.25
CUSTODIAN,32741.36,224.25
CUSTODIAN,47974.3,6677.45
CUSTODIAN,48472.4,2524.87
CUSTODIAN,48472.4,2167.24
CUSTODIAN,47985.2,2710.26
CUSTODIAN,48472.41,1234.52
CUSTODIAN,48176.6,1194.24
CUSTODIAN,48472.4,2846.1
CUSTODIAN,48487.71,1247.33
CUSTODIAN,46039.1,302.77
CUSTODIAN,48472.4,578.1
CUSTODIAN,42927.6,805.54
CUSTODIAN,29926.51,1057.82
CUSTODIAN,20511.4,1547.7
CUSTODIAN,48483.37,3053.56
CUSTODIAN,48472.45,1536.25
CUSTODIAN,48461.5,2058.06
CUSTODIAN,47759.03,2622.99
CUSTODIAN,48472.4,1375.22
CUSTODIAN,41917.05,2318.38
CUSTODIAN,45499.38,874.35
CUSTODIAN,42056.44,1568.68
CUSTODIAN,31499.58,770.06
CUSTODIAN,31483.99,770.06
CUSTODIAN,8158.81,258.89
CUSTODIAN,47759.0,5826.32
CUSTODIAN,48425.63,5899.24
CUSTODIAN,48461.51,1831.88
CUSTODIAN,46216.54,3022.43
CUSTODIAN,46101.55,1139.8
CUSTODIAN,46511.2,840.45
CUSTODIAN,32792.89,536.91
CUSTODIAN,32890.84,1048.92
CUSTODIAN,31483.65,536.91
CUSTODIAN,29926.44,549.78
CUSTODIAN,30482.29,774.03
CUSTODIAN,29918.63,1011.63
CUSTODIAN,14511.97,839.82
CUSTODIAN,50500.9,6367.65
CUSTODIAN,48461.5,2169.08
CUSTODIAN,48472.45,1536.25
CUSTODIAN,48472.46,2779.1
CUSTODIAN,48472.4,1723.03
CUSTODIAN,41958.04,1575.34
CUSTODIAN,36738.38,1667.03
CUSTODIAN,32907.6,824.67
CUSTODIAN,48472.46,1536.25
CUSTODIAN,48280.1,2001.64
CUSTODIAN,48472.64,1455.48
CUSTODIAN,41812.3,640.7
CUSTODIAN,40843.57,208.45
CUSTODIAN,28816.51,549.78
CUSTODIAN,17789.05,498.8
CUSTODIAN,50192.58,2214.13
CUSTODIAN,48461.54,2441.82
CUSTODIAN,44987.28,2568.38
CUSTODIAN,48461.5,1697.25
CUSTODIAN,48472.4,1423.35
CUSTODIAN,46104.0,569.9
CUSTODIAN,48390.88,455.39
CUSTODIAN,48472.4,171.56
CUSTODIAN,48472.41,307.12
CUSTODIAN,41044.34,1078.91
CUSTODIAN,29940.98,1044.95
CUSTODIAN,29934.33,536.91
CUSTODIAN,48472.4,3109.65
CUSTODIAN,48472.4,6196.0
CUSTODIAN,36289.67,4612.73
CUSTODIAN,47962.65,1714.2
CUSTODIAN,48072.2,72.26
CUSTODIAN,26303.0,5399.64
CUSTODIAN,31348.19,2707.4
CUSTODIAN,48461.54,2146.45
CUSTODIAN,46111.95,1982.72
CUSTODIAN,44969.9,1211.08
CUSTODIAN,48472.4,342.92
CUSTODIAN,48472.4,157.28
CUSTODIAN,41765.39,854.85
CUSTODIAN,29926.48,1086.03
CUSTODIAN,28328.87,1086.69
CUSTODIAN,20511.4,262.02
CUSTODIAN,13287.02,238.2
CUSTODIAN,48461.54,2461.02
CUSTODIAN,48472.4,1559.99
CUSTODIAN,48472.43,2424.42
CUSTODIAN,48472.4,1253.16
CUSTODIAN,43129.8,6500.04
CUSTODIAN,48472.46,1536.25
CUSTODIAN,48461.53,1211.44
CUSTODIAN,48462.4,1554.6
CUSTODIAN,48472.4,3084.67
CUSTODIAN,48472.4,857.4
CUSTODIAN,31507.39,1607.6
CUSTODIAN,25940.2,1297.54
CUSTODIAN,0.0,334.61
CUSTODIAN,48472.45,3053.56
